lot,cabinet_code,cabinet_name,line,point_code,device_id,rated_power_w,lamp_type,lat,lng,pole_id
A,Q-A01,Via Roma Nord,L1,PL-000067,LUM-000043,48,LED,45.4078,9.13826,P-000067
A,Q-A01,Via Roma Nord,L2,PL-000068,LUM-000044,72,LED,45.40792,9.13773,P-000068
A,Q-A01,Via Roma Nord,L3,PL-000069,LUM-000045,48,LED,45.40804,9.13842,P-000069
A,Q-A01,Via Roma Nord,L1,PL-000070,LUM-000046,48,LED,45.40816,9.138,P-000070
A,Q-A01,Via Roma Nord,L2,PL-000071,LUM-000047,56,LED,45.40828,9.13807,P-000071
A,Q-A01,Via Roma Nord,L3,PL-000072,LUM-000048,56,LED,45.4084,9.13815,P-000072
A,Q-A01,Via Roma Nord,L1,PL-000073,LUM-000049,48,LED,45.40852,9.13776,P-000073
A,Q-A01,Via Roma Nord,L2,PL-000074,LUM-00004A,72,LED,45.40864,9.13785,P-000074
A,Q-A01,Via Roma Nord,L3,PL-000075,LUM-00004B,48,LED,45.40876,9.13805,P-000075
A,Q-A01,Via Roma Nord,L1,PL-000076,LUM-00004C,48,LED,45.40888,9.1379,P-000076
A,Q-A01,Via Roma Nord,L2,PL-000077,LUM-00004D,48,LED,45.409,9.13768,P-000077
A,Q-A01,Via Roma Nord,L3,PL-000078,LUM-00004E,56,LED,45.40912,9.13818,P-000078
A,Q-A01,Via Roma Nord,L1,PL-000079,LUM-00004F,56,LED,45.40924,9.13787,P-000079
A,Q-A01,Via Roma Nord,L2,PL-000080,LUM-000050,48,LED,45.40936,9.13826,P-000080
A,Q-A01,Via Roma Nord,L3,PL-000081,LUM-000051,72,LED,45.40948,9.13807,P-000081
A,Q-A01,Via Roma Nord,L1,PL-000082,LUM-000052,72,LED,45.4096,9.13776,P-000082
A,Q-A01,Via Roma Nord,L2,PL-000083,LUM-000053,56,LED,45.40972,9.13801,P-000083
A,Q-A01,Via Roma Nord,L3,PL-000084,LUM-000054,48,LED,45.40984,9.13794,P-000084
A,Q-A01,Via Roma Nord,L1,PL-000085,LUM-000055,72,LED,45.40996,9.1379,P-000085
A,Q-A01,Via Roma Nord,L2,PL-000086,LUM-000056,48,LED,45.41008,9.13779,P-000086
A,Q-A01,Via Roma Nord,L3,PL-000087,LUM-000057,72,LED,45.4102,9.1378,P-000087
A,Q-A01,Via Roma Nord,L1,PL-000088,LUM-000058,72,LED,45.41032,9.13804,P-000088
A,Q-A01,Via Roma Nord,L2,PL-000089,LUM-000059,48,LED,45.41044,9.13798,P-000089
A,Q-A01,Via Roma Nord,L3,PL-000090,LUM-00005A,72,LED,45.41056,9.1382,P-000090
A,Q-A01,Via Roma Nord,L1,PL-000091,LUM-00005B,72,LED,45.41068,9.13828,P-000091
A,Q-A01,Via Roma Nord,L2,PL-000092,LUM-00005C,56,LED,45.4108,9.13827,P-000092
A,Q-A01,Via Roma Nord,L3,PL-000093,LUM-00005D,48,LED,45.41092,9.13796,P-000093
A,Q-A01,Via Roma Nord,L1,PL-000094,LUM-00005E,72,LED,45.41104,9.13805,P-000094
A,Q-A01,Via Roma Nord,L2,PL-000095,LUM-00005F,72,LED,45.41116,9.13826,P-000095
A,Q-A01,Via Roma Nord,L3,PL-000096,LUM-000060,48,LED,45.41128,9.13818,P-000096
A,Q-A01,Via Roma Nord,L1,PL-000097,LUM-000061,48,LED,45.4114,9.13798,P-000097
A,Q-A01,Via Roma Nord,L2,PL-000098,LUM-000062,56,LED,45.41152,9.13817,P-000098
A,Q-A01,Via Roma Nord,L3,PL-000099,LUM-000063,48,LED,45.41164,9.13838,P-000099
A,Q-A01,Via Roma Nord,L1,PL-000100,LUM-000064,48,LED,45.41176,9.13791,P-000100
A,Q-A01,Via Roma Nord,L2,PL-000101,LUM-000065,72,LED,45.41188,9.13822,P-000101
A,Q-A01,Via Roma Nord,L3,PL-000102,LUM-000066,56,LED,45.412,9.13842,P-000102
A,Q-A01,Via Roma Nord,L1,PL-000103,LUM-000067,56,LED,45.41212,9.13809,P-000103
A,Q-A01,Via Roma Nord,L2,PL-000104,LUM-000068,72,LED,45.41224,9.13787,P-000104
A,Q-A01,Via Roma Nord,L3,PL-000105,LUM-000069,56,LED,45.41236,9.1384,P-000105
A,Q-A01,Via Roma Nord,L1,PL-000106,LUM-00006A,56,LED,45.41248,9.13818,P-000106
A,Q-A01,Via Roma Nord,L2,PL-000107,LUM-00006B,72,LED,45.4126,9.13767,P-000107
A,Q-A01,Via Roma Nord,L3,PL-000108,LUM-00006C,56,LED,45.41272,9.13791,P-000108
A,Q-A01,Via Roma Nord,L1,PL-000109,LUM-00006D,56,LED,45.41284,9.1378,P-000109
A,Q-A01,Via Roma Nord,L2,PL-000110,LUM-00006E,72,LED,45.41296,9.13818,P-000110
A,Q-A01,Via Roma Nord,L3,PL-000111,LUM-00006F,48,LED,45.41308,9.13822,P-000111
A,Q-A01,Via Roma Nord,L1,PL-000112,LUM-000070,48,LED,45.4132,9.1379,P-000112
A,Q-A01,Via Roma Nord,L2,PL-000113,LUM-000071,56,LED,45.41332,9.13838,P-000113
A,Q-A01,Via Roma Nord,L3,PL-000114,LUM-000072,72,LED,45.41344,9.13818,P-000114
A,Q-A01,Via Roma Nord,L1,PL-000115,LUM-000073,56,LED,45.41356,9.13815,P-000115
A,Q-A01,Via Roma Nord,L2,PL-000116,LUM-000074,56,LED,45.41368,9.13827,P-000116
A,Q-A01,Via Roma Nord,L3,PL-000117,LUM-000075,56,LED,45.4138,9.13835,P-000117
A,Q-A01,Via Roma Nord,L1,PL-000118,LUM-000076,48,LED,45.41392,9.1377,P-000118
A,Q-A01,Via Roma Nord,L2,PL-000119,LUM-000077,56,LED,45.41404,9.13785,P-000119
A,Q-A01,Via Roma Nord,L3,PL-000120,LUM-000078,56,LED,45.41416,9.13767,P-000120
A,Q-A01,Via Roma Nord,L1,PL-000121,LUM-000079,56,LED,45.41428,9.1382,P-000121
A,Q-A01,Via Roma Nord,L2,PL-000122,LUM-00007A,56,LED,45.4144,9.13786,P-000122
A,Q-A01,Via Roma Nord,L3,PL-000123,LUM-00007B,72,LED,45.41452,9.13796,P-000123
A,Q-A01,Via Roma Nord,L1,PL-000124,LUM-00007C,48,LED,45.41464,9.13823,P-000124
A,Q-A01,Via Roma Nord,L2,PL-000125,LUM-00007D,48,LED,45.41476,9.13835,P-000125
A,Q-A01,Via Roma Nord,L3,PL-000126,LUM-00007E,48,LED,45.41488,9.1383,P-000126
A,Q-A01,Via Roma Nord,L1,PL-000127,LUM-00007F,72,LED,45.415,9.13792,P-000127
A,Q-A01,Via Roma Nord,L2,PL-000128,LUM-000080,56,LED,45.41512,9.13774,P-000128
A,Q-A01,Via Roma Nord,L3,PL-000129,LUM-000081,72,LED,45.41524,9.13841,P-000129
A,Q-A01,Via Roma Nord,L1,PL-000130,LUM-000082,48,LED,45.41536,9.13775,P-000130
A,Q-A01,Via Roma Nord,L2,PL-000131,LUM-000083,56,LED,45.41548,9.13779,P-000131
A,Q-A01,Via Roma Nord,L3,PL-000132,LUM-000084,48,LED,45.4156,9.13835,P-000132
A,Q-A01,Via Roma Nord,L1,PL-000133,LUM-000085,56,LED,45.41572,9.13813,P-000133
A,Q-A01,Via Roma Nord,L2,PL-000134,LUM-000086,56,LED,45.41584,9.13842,P-000134
A,Q-A01,Via Roma Nord,L3,PL-000135,LUM-000087,72,LED,45.41596,9.138,P-000135
A,Q-A01,Via Roma Nord,L1,PL-000136,LUM-000088,72,LED,45.41608,9.13841,P-000136
A,Q-A01,Via Roma Nord,L2,PL-000137,LUM-000089,72,LED,45.4162,9.13841,P-000137
A,Q-A01,Via Roma Nord,L3,PL-000138,LUM-00B7C2,56,LED,45.41632,9.13775,P-000138
A,Q-A01,Via Roma Nord,L1,PL-000139,LUM-00008B,56,LED,45.41644,9.13833,P-000139
A,Q-A01,Via Roma Nord,L2,PL-000140,LUM-00008C,72,LED,45.41656,9.13773,P-000140
A,Q-A01,Via Roma Nord,L3,PL-000141,LUM-00008D,48,LED,45.41668,9.13818,P-000141
A,Q-A01,Via Roma Nord,L1,PL-000142,LUM-00008E,48,LED,45.4168,9.13841,P-000142
A,Q-A01,Via Roma Nord,L2,PL-000143,LUM-00008F,56,LED,45.41692,9.13791,P-000143
A,Q-A01,Via Roma Nord,L3,PL-000144,LUM-000090,56,LED,45.41704,9.13773,P-000144
A,Q-A01,Via Roma Nord,L1,PL-000145,LUM-000091,56,LED,45.41716,9.13802,P-000145
A,Q-A01,Via Roma Nord,L2,PL-000146,LUM-000092,56,LED,45.41728,9.13797,P-000146
A,Q-A01,Via Roma Nord,L3,PL-000147,LUM-000093,48,LED,45.4174,9.13779,P-000147
A,Q-A01,Via Roma Nord,L1,PL-000148,LUM-000094,48,LED,45.41752,9.13832,P-000148
A,Q-A01,Via Roma Nord,L2,PL-000149,LUM-000095,56,LED,45.41764,9.13839,P-000149
A,Q-A01,Via Roma Nord,L3,PL-000150,LUM-000096,48,LED,45.41776,9.13767,P-000150
A,Q-A01,Via Roma Nord,L1,PL-000151,LUM-000097,48,LED,45.41788,9.13827,P-000151
A,Q-A01,Via Roma Nord,L2,PL-000152,LUM-000098,56,LED,45.418,9.1383,P-000152
A,Q-A01,Via Roma Nord,L3,PL-000153,LUM-000099,72,LED,45.41812,9.13801,P-000153
A,Q-A01,Via Roma Nord,L1,PL-000154,LUM-00009A,56,LED,45.41824,9.13807,P-000154
A,Q-A01,Via Roma Nord,L2,PL-000155,LUM-00009B,48,LED,45.41836,9.1382,P-000155
A,Q-A01,Via Roma Nord,L3,PL-000156,LUM-00009C,56,LED,45.41848,9.13787,P-000156
A,Q-A01,Via Roma Nord,L1,PL-000157,LUM-00009D,56,LED,45.4186,9.13769,P-000157
A,Q-A01,Via Roma Nord,L2,PL-000158,LUM-00009E,48,LED,45.41872,9.1377,P-000158
A,Q-A01,Via Roma Nord,L3,PL-000159,LUM-00009F,48,LED,45.41884,9.13801,P-000159
A,Q-A01,Via Roma Nord,L1,PL-000160,LUM-0000A0,56,LED,45.41896,9.13833,P-000160
A,Q-A02,Via Roma Sud,L1,PL-000161,LUM-0000A1,56,LED,45.42912,9.15084,P-000161
A,Q-A02,Via Roma Sud,L2,PL-000162,LUM-0000A2,72,LED,45.42924,9.15116,P-000162
A,Q-A02,Via Roma Sud,L3,PL-000163,LUM-0000A3,56,LED,45.42936,9.15137,P-000163
A,Q-A02,Via Roma Sud,L1,PL-000164,LUM-0000A4,56,LED,45.42948,9.1509,P-000164
A,Q-A02,Via Roma Sud,L2,PL-000165,LUM-0000A5,72,LED,45.4296,9.15076,P-000165
A,Q-A02,Via Roma Sud,L3,PL-000166,LUM-0000A6,56,LED,45.42972,9.15109,P-000166
A,Q-A02,Via Roma Sud,L1,PL-000167,LUM-0000A7,56,LED,45.42984,9.15089,P-000167
A,Q-A02,Via Roma Sud,L2,PL-000168,LUM-0000A8,48,LED,45.42996,9.151,P-000168
A,Q-A02,Via Roma Sud,L3,PL-000169,LUM-0000A9,48,LED,45.43008,9.15129,P-000169
A,Q-A02,Via Roma Sud,L1,PL-000170,LUM-0000AA,72,LED,45.4302,9.1511,P-000170
A,Q-A02,Via Roma Sud,L2,PL-000171,LUM-0000AB,48,LED,45.43032,9.15103,P-000171
A,Q-A02,Via Roma Sud,L3,PL-000172,LUM-0000AC,48,LED,45.43044,9.15098,P-000172
A,Q-A02,Via Roma Sud,L1,PL-000173,LUM-0000AD,72,LED,45.43056,9.15145,P-000173
A,Q-A02,Via Roma Sud,L2,PL-000174,LUM-0000AE,72,LED,45.43068,9.15117,P-000174
A,Q-A02,Via Roma Sud,L3,PL-000175,LUM-0000AF,48,LED,45.4308,9.15139,P-000175
A,Q-A02,Via Roma Sud,L1,PL-000176,LUM-0000B0,72,LED,45.43092,9.15129,P-000176
A,Q-A02,Via Roma Sud,L2,PL-000177,LUM-0000B1,72,LED,45.43104,9.15125,P-000177
A,Q-A02,Via Roma Sud,L3,PL-000178,LUM-0000B2,48,LED,45.43116,9.15092,P-000178
A,Q-A02,Via Roma Sud,L1,PL-000179,LUM-0000B3,56,LED,45.43128,9.15152,P-000179
A,Q-A02,Via Roma Sud,L2,PL-000180,LUM-0000B4,72,LED,45.4314,9.15107,P-000180
A,Q-A02,Via Roma Sud,L3,PL-000181,LUM-0000B5,48,LED,45.43152,9.15137,P-000181
A,Q-A02,Via Roma Sud,L1,PL-000182,LUM-0000B6,72,LED,45.43164,9.15095,P-000182
A,Q-A02,Via Roma Sud,L2,PL-000183,LUM-0000B7,72,LED,45.43176,9.15104,P-000183
A,Q-A02,Via Roma Sud,L3,PL-000184,LUM-0000B8,56,LED,45.43188,9.15079,P-000184
A,Q-A02,Via Roma Sud,L1,PL-000185,LUM-0000B9,48,LED,45.432,9.15141,P-000185
A,Q-A02,Via Roma Sud,L2,PL-000186,LUM-0000BA,48,LED,45.43212,9.15101,P-000186
A,Q-A02,Via Roma Sud,L3,PL-000187,LUM-0000BB,72,LED,45.43224,9.15142,P-000187
A,Q-A02,Via Roma Sud,L1,PL-000188,LUM-0000BC,56,LED,45.43236,9.15129,P-000188
A,Q-A02,Via Roma Sud,L2,PL-000189,LUM-0000BD,48,LED,45.43248,9.15124,P-000189
A,Q-A02,Via Roma Sud,L3,PL-000190,LUM-0000BE,56,LED,45.4326,9.15086,P-000190
A,Q-A02,Via Roma Sud,L1,PL-000191,LUM-0000BF,48,LED,45.43272,9.151,P-000191
A,Q-A02,Via Roma Sud,L2,PL-000192,LUM-0000C0,56,LED,45.43284,9.15134,P-000192
A,Q-A02,Via Roma Sud,L3,PL-000193,LUM-0000C1,56,LED,45.43296,9.15139,P-000193
A,Q-A02,Via Roma Sud,L1,PL-000194,LUM-0000C2,48,LED,45.43308,9.15099,P-000194
A,Q-A02,Via Roma Sud,L2,PL-000195,LUM-0000C3,48,LED,45.4332,9.15081,P-000195
A,Q-A02,Via Roma Sud,L3,PL-000196,LUM-0000C4,72,LED,45.43332,9.15147,P-000196
A,Q-A02,Via Roma Sud,L1,PL-000197,LUM-0000C5,72,LED,45.43344,9.15117,P-000197
A,Q-A02,Via Roma Sud,L2,PL-000198,LUM-0000C6,56,LED,45.43356,9.15144,P-000198
A,Q-A02,Via Roma Sud,L3,PL-000199,LUM-0000C7,72,LED,45.43368,9.15149,P-000199
A,Q-A02,Via Roma Sud,L1,PL-000200,LUM-0000C8,48,LED,45.4338,9.15081,P-000200
A,Q-A02,Via Roma Sud,L2,PL-000201,LUM-0000C9,48,LED,45.43392,9.15116,P-000201
A,Q-A02,Via Roma Sud,L3,PL-000202,LUM-0000CA,56,LED,45.43404,9.15132,P-000202
A,Q-A02,Via Roma Sud,L1,PL-000203,LUM-0000CB,48,LED,45.43416,9.15111,P-000203
A,Q-A02,Via Roma Sud,L2,PL-000204,LUM-0000CC,72,LED,45.43428,9.15112,P-000204
A,Q-A02,Via Roma Sud,L3,PL-000205,LUM-0000CD,48,LED,45.4344,9.15086,P-000205
A,Q-A02,Via Roma Sud,L1,PL-000206,LUM-0000CE,72,LED,45.43452,9.15115,P-000206
A,Q-A02,Via Roma Sud,L2,PL-000207,LUM-0000CF,56,LED,45.43464,9.1511,P-000207
A,Q-A02,Via Roma Sud,L3,PL-000208,LUM-0000D0,56,LED,45.43476,9.15089,P-000208
A,Q-A02,Via Roma Sud,L1,PL-000209,LUM-0000D1,56,LED,45.43488,9.15153,P-000209
A,Q-A02,Via Roma Sud,L2,PL-000210,LUM-0000D2,72,LED,45.435,9.15122,P-000210
A,Q-A02,Via Roma Sud,L3,PL-000211,LUM-0000D3,48,LED,45.43512,9.15131,P-000211
A,Q-A02,Via Roma Sud,L1,PL-000212,LUM-0000D4,72,LED,45.43524,9.15117,P-000212
A,Q-A02,Via Roma Sud,L2,PL-000213,LUM-0000D5,48,LED,45.43536,9.15153,P-000213
A,Q-A02,Via Roma Sud,L3,PL-000214,LUM-0000D6,56,LED,45.43548,9.15109,P-000214
A,Q-A02,Via Roma Sud,L1,PL-000215,LUM-0000D7,72,LED,45.4356,9.15094,P-000215
A,Q-A02,Via Roma Sud,L2,PL-000216,LUM-0000D8,56,LED,45.43572,9.15113,P-000216
A,Q-A02,Via Roma Sud,L3,PL-000217,LUM-0000D9,72,LED,45.43584,9.15089,P-000217
A,Q-A02,Via Roma Sud,L1,PL-000218,LUM-0000DA,72,LED,45.43596,9.1513,P-000218
A,Q-A02,Via Roma Sud,L2,PL-000219,LUM-0000DB,56,LED,45.43608,9.15144,P-000219
A,Q-A02,Via Roma Sud,L3,PL-000220,LUM-0000DC,56,LED,45.4362,9.15102,P-000220
A,Q-A02,Via Roma Sud,L1,PL-000221,LUM-0000DD,56,LED,45.43632,9.15105,P-000221
A,Q-A02,Via Roma Sud,L2,PL-000222,LUM-0000DE,56,LED,45.43644,9.15123,P-000222
A,Q-A02,Via Roma Sud,L3,PL-000223,LUM-0000DF,48,LED,45.43656,9.1508,P-000223
A,Q-A02,Via Roma Sud,L1,PL-000224,LUM-0000E0,48,LED,45.43668,9.15135,P-000224
A,Q-A02,Via Roma Sud,L2,PL-000225,LUM-0000E1,56,LED,45.4368,9.15149,P-000225
A,Q-A02,Via Roma Sud,L3,PL-000226,LUM-0000E2,72,LED,45.43692,9.15123,P-000226
A,Q-A02,Via Roma Sud,L1,PL-000227,LUM-0000E3,56,LED,45.43704,9.15084,P-000227
A,Q-A02,Via Roma Sud,L2,PL-000228,LUM-0000E4,48,LED,45.43716,9.15092,P-000228
A,Q-A02,Via Roma Sud,L3,PL-000229,LUM-0000E5,56,LED,45.43728,9.15128,P-000229
A,Q-A02,Via Roma Sud,L1,PL-000230,LUM-0000E6,48,LED,45.4374,9.15078,P-000230
A,Q-A02,Via Roma Sud,L2,PL-000231,LUM-0000E7,48,LED,45.43752,9.1514,P-000231
A,Q-A02,Via Roma Sud,L3,PL-000232,LUM-0000E8,72,LED,45.43764,9.15099,P-000232
A,Q-A02,Via Roma Sud,L1,PL-000233,LUM-0000E9,72,LED,45.43776,9.15101,P-000233
A,Q-A02,Via Roma Sud,L2,PL-000234,LUM-0000EA,72,LED,45.43788,9.15106,P-000234
A,Q-A02,Via Roma Sud,L3,PL-000235,LUM-0000EB,56,LED,45.438,9.15088,P-000235
A,Q-A02,Via Roma Sud,L1,PL-000236,LUM-0000EC,56,LED,45.43812,9.15118,P-000236
A,Q-A02,Via Roma Sud,L2,PL-000237,LUM-0000ED,48,LED,45.43824,9.15143,P-000237
A,Q-A02,Via Roma Sud,L3,PL-000238,LUM-0000EE,56,LED,45.43836,9.15092,P-000238
A,Q-A02,Via Roma Sud,L1,PL-000239,LUM-0000EF,48,LED,45.43848,9.1514,P-000239
A,Q-A02,Via Roma Sud,L2,PL-000240,LUM-0000F0,56,LED,45.4386,9.1509,P-000240
A,Q-A02,Via Roma Sud,L3,PL-000241,LUM-0000F1,72,LED,45.43872,9.15125,P-000241
A,Q-A02,Via Roma Sud,L1,PL-000242,LUM-0000F2,48,LED,45.43884,9.15085,P-000242
A,Q-A02,Via Roma Sud,L2,PL-000243,LUM-0000F3,48,LED,45.43896,9.15113,P-000243
A,Q-A02,Via Roma Sud,L3,PL-000244,LUM-0000F4,72,LED,45.43908,9.15095,P-000244
A,Q-A02,Via Roma Sud,L1,PL-000245,LUM-0000F5,56,LED,45.4392,9.15094,P-000245
A,Q-A02,Via Roma Sud,L2,PL-000246,LUM-0000F6,56,LED,45.43932,9.15073,P-000246
A,Q-A02,Via Roma Sud,L3,PL-000247,LUM-0000F7,56,LED,45.43944,9.15092,P-000247
A,Q-A02,Via Roma Sud,L1,PL-000248,LUM-0000F8,48,LED,45.43956,9.15146,P-000248
A,Q-A02,Via Roma Sud,L2,PL-000249,LUM-0000F9,72,LED,45.43968,9.15099,P-000249
A,Q-A02,Via Roma Sud,L3,PL-000250,LUM-0000FA,56,LED,45.4398,9.15081,P-000250
A,Q-A02,Via Roma Sud,L1,PL-000251,LUM-0000FB,72,LED,45.43992,9.15097,P-000251
A,Q-A02,Via Roma Sud,L2,PL-000252,LUM-0000FC,72,LED,45.44004,9.15078,P-000252
A,Q-A02,Via Roma Sud,L3,PL-000253,LUM-0000FD,48,LED,45.44016,9.15123,P-000253
A,Q-A02,Via Roma Sud,L1,PL-000254,LUM-0000FE,48,LED,45.44028,9.15151,P-000254
A,Q-A02,Via Roma Sud,L2,PL-000255,LUM-0000FF,48,LED,45.4404,9.1515,P-000255
A,Q-A02,Via Roma Sud,L3,PL-000256,LUM-000100,48,LED,45.44052,9.15133,P-000256
A,Q-A02,Via Roma Sud,L1,PL-000257,LUM-000101,48,LED,45.44064,9.151,P-000257
